user_id,Salad In The Box,SteakHolder,ANWAR BURGER,สมใจ ลูกชิ้นทอด,น้องแนนหมูปิ้ง,ปังเย็น,เครื่องดื่ม ยำผลไม้ ผลไม้,ข้าวแกงชุดอิ่มอร่อย,ตำยำย่าง อาหารอีสาน ลาบยโส,ศิริรัตน์ โจ้ก ข้าวต้ม,ผัดไท หอยทอด ราดหน้า,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,แชมป์ฮั้งเพ้ง,ชาย 4 บะหมี่เกี๊ยว,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,อาหารอิสลาม Halal Food,ร้านอาหารตามสั่งอิ่มอร่อย,พินิจโต้รุ่ง,clusters,
188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
128,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,เลือกเข้าชมร้าน SteakHolder 
191,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,เลือกเข้าชมร้าน SteakHolder 
149,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,เลือกเข้าชมร้าน SteakHolder 
95,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
94,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,เลือกเข้าชมร้าน SteakHolder 
194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
198,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
151,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
182,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
169,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
166,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,เลือกเข้าชมร้าน SteakHolder 
122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
170,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,เลือกเข้าชมร้าน SteakHolder 
171,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,เลือกเข้าชมร้าน SteakHolder 
127,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
173,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,เลือกเข้าชมร้าน SteakHolder 
163,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
176,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
178,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,เลือกเข้าชมร้าน SteakHolder 
162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
165,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
268,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
260,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
254,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
241,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
240,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
238,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,เลือกเข้าชมร้าน SteakHolder 
236,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
50,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
230,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,เลือกเข้าชมร้าน SteakHolder 
234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
74,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,เลือกเข้าชมร้าน SteakHolder 
85,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
225,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,เลือกเข้าชมร้าน SteakHolder 
210,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,เลือกเข้าชมร้าน SteakHolder 
223,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,เลือกเข้าชมร้าน SteakHolder 
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
70,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
218,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,เลือกเข้าชมร้าน SteakHolder 
147,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
213,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,เลือกเข้าชมร้าน SteakHolder 
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
250,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
242,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
271,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
105,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
37,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
96,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
123,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,เลือกเข้าชม ร้าน 3 ป. ขาหมู อาหารตามสั่ง
